сегодня в 07:42  Состоялся релиз Star Wars Jedi Survivor на ПК и консолях - портал IGN показал первые минуты игры
21 апреля  Лавкрафтианский кооперативный хоррор Eresys вышел в раннем доступе для ПК
21 апреля  Состоялся релиз пошаговой стратегической игры Advance Wars 1+2 Re-Boot Camp
21 апреля  Состоялся релиз зомби-экшена Dead Island 2
21 апреля  Новый хит на консолях: готовьте свои топоры для боя в Demon Skin
21 апреля  Animal Shelter теперь доступен для Nintendo Switch: помогайте животным найти новых хозяев
20 апреля  Medieval Dynasty стала доступна для Xbox One и PlayStation 4
20 апреля  Ролевая игра Lost Epic добралась до Nintendo Switch
20 апреля  Состоялся релиз ролевого экшена Stray Blade
20 апреля  Твин-стик платформер Revita вышел на PS5, Xbox Series, PS4 и Xbox One
20 апреля  Повествовательная приключенческая головоломка Tin Hearts Out вышла для Nintendo Switch
20 апреля  Super Meat Boy Forever добралась до мобильных устройств
20 апреля  Ретро экшен-платформер Moons of Darsalon вышел на ПК в Steam
20 апреля  На ПК вышла порно-пародия Death Stranding с доставкой предметов и сексом
20 апреля  Five Nights at Freddy's: Security Breach теперь доступна для Nintendo Switch
19 апреля  Состоялся релиз обновлённой версии Teslagrad
19 апреля  Состоялся неожиданный релиз Teslagrad 2
19 апреля  Серия пиксельных ремастеров Final Fantasy Pixel Remaster вышла для PS4 и Nintendo Switch
19 апреля  Игра на выживание на Карибах XVI века Survival: Fountain of Youth вышла в раннем доступе Steam
19 апреля  Состоялся релиз красочного ритм-шутера GUN JAM
19 апреля  Graveyard Keeper: Last Journey Edition вышла для PS4 и Xbox One
19 апреля  Состоялся выход альфа-версии якутского охотничьего симулятора BULT
19 апреля  Состоялся релиз русификатора для Subverse v0.7.0
19 апреля  3D-тактический краулер подземелий Desktop Dungeons: Rewind стал доступен для ПК
19 апреля  Пираты взломали Minecraft Legends в день релиза
19 апреля  Состоялся релиз The Mageseeker, и судя по первым отзывам, ролевая игра порадует не только поклонников вселенной LoL
19 апреля  Состоялся релиз дополнения Horizon Forbidden West: Burning Shores, которое доступно полностью на русском языке
18 апреля  Состоялся релиз DLC Steampunk Paint Jobs для American Truck Simulator
18 апреля  Ролевой боевик The Mageseeker: A League of Legends Story добрался до релиза
18 апреля  По небезызвестной вселенной Minecraft вышла стратегия Minecraft Legends
18 апреля  Релизный трейлер аркадной гонки Disney Speedstorm
18 апреля  Состоялся релиз ритм-файтинга God of Rock
18 апреля  Красочная и минималистичная игра-головоломка Farm Slider вышла на консолях
18 апреля  Приключение во временной петле Beyond the Long Night доступно для ПК в Steam
18 апреля  Состоялся релиз дополнения Domination для Europa Universalis 4
17 апреля  Nosgoth Возвращение легендарной онлайн игры
17 апреля  Загадочный экшен-хоррор Suffer the Night вышел на ПК
17 апреля  Симулятор отеля для животных Pets Hotel стал доступен на ПК в Steam
17 апреля  Ретро ролевая игра Ultra Pixel Survive стала доступна для консолей
16 апреля  Cредневековый симулятор реконструкции и строительства Castle Renovator добрался до Nintendo Switch
16 апреля  Красивый roguelike со сбором колоды Wildfrost вышел для ПК и Nintendo Switch
15 апреля  Стала доступна VR-версия приключенческой игры-головоломки Call of the Sea для Meta Quest 2
15 апреля  Cannon Dancer стала доступна в цифровом и физическом виде для консолей
14 апреля  Вышла коллекция ремастеров Mega Man Battle Network Legacy
14 апреля  TAPE: Unveil the Memories стало доступно для Nintendo Switch
13 апреля  Космический шутер Boundary вышел в раннем доступе в Steam
13 апреля  Состоялся релиз дополнения Tides of Foscari для Vampire Survivors
13 апреля  Сюжетная научно-фантастическая ролевая стратегия Lightracer Spark вышла в Steam
13 апреля  Релизный трейлер дополнения Forge of the Chaos Dwarfs для Total War: Warhammer 3
13 апреля  Релизный трейлер строительного симулятора сказочного королевства Fabledom
13 апреля  Реверсивный градостроительный симулятор Flooded вышел для ПК в Steam и GOG
13 апреля  В Steam вышел новый рогалик Crimson Dawn, вдохновлённый популярной Vampire Survivors
12 апреля  Skybound выпустила в раннем доступе Renfield: Bring Your Own Blood по мотивам фильма с Николасом Кейджем
12 апреля  Средневековая тактическая RPG Wartales вышла из раннего доступа Steam
12 апреля  2.5D кибер-нуарная приключенческая игра-головоломка RENDEZVOUS вышла для ПК в Steam
12 апреля  Метроидвания Rusted Moss стала доступна в Steam
